NAME,color
Киевский,1
Филёвский Парк,1
Новофёдоровское,1
Роговское,1
Мосрентген,1
Вороновское,1
Михайлово-Ярцевское,1
Марушкинское,1
Первомайское,1
Матушкино,1
Внуково,1
Савёлки,1
Внуковское,1
Силино,1
Кокошкино,1
Крюково,1
Щукино,1
Краснопахорское,1
Нагатинский Затон,1
Старое Крюково,1
Клёновское,1
Дмитровский,1
Филимонковское,1
Троицк,1
Тёплый Стан,1
Щаповское,1
Московский,1
Десёновское,1
Ховрино,1
Ломоносовский,1
Можайский,1
Ново-Переделкино,1
Строгино,1
Молжаниновский,1
Митино,1
Куркино,1
Крылатское,1
Солнцево,1
Сосенское,1
Воскресенское,1
Головинский,1
Южное Тушино,1
Северное Тушино,1
Черёмушки,1
Покровское-Стрешнево,1
Хорошёво-Мнёвники,1
Очаково-Матвеевское,1
Тропарёво-Никулино,1
Левобережный,1
Фили-Давыдково,1
Обручевский,1
Рязановское,1
Раменки,1
Войковский,1
Сокол,1
Западное Дегунино,1
Проспект Вернадского,1
Южное Бутово,1
Ясенево,1
Дорогомилово,1
Коньково,1
Хорошёвский,1
Беговой,1
Коптево,1
Щербинка,1
Аэропорт,10
Пресненский,1
Северный,1
Бескудниковский,1
Гагаринский,1
Тимирязевский,1
Северное Бутово,1
Лианозово,1
Хамовники,1
Восточное Дегунино,1
Савёловский,1
Академический,1
Зюзино,1
Алтуфьевский,1
Марфино,1
Чертаново Центральное,1
Отрадное,1
Арбат,1
Чертаново Южное,1
Бутырский,1
Тверской,1
Чертаново Северное,1
Якиманка,1
Котловка,1
Останкинский,1
Донской,1
Бибирево,1
Бирюлёво Западное,1
Марьина Роща,1
Нагорный,1
Свиблово,1
Даниловский,1
Мещанский,1
Южное Медведково,1
Замоскворечье,1
Северное Медведково,1
Нагатино-Садовники,1
Москворечье-Сабурово,1
Царицыно,1
Басманный,1
Красносельский,1
Ростокино,1
Таганский,1
Алексеевский,1
Сокольники,1
Бирюлёво Восточное,1
Бабушкинский,1
Южнопортовый,1
Ярославский,1
Печатники,1
Богородское,1
Метрогородок,1
Лефортово,1
Орехово-Борисово Северное,1
Лосиноостровский,1
Нижегородский,1
Перово,1
Орехово-Борисово Южное,1
Марьино,1
Вешняки,1
Преображенское,1
Соколиная Гора,1
Люблино,1
Текстильщики,1
Братеево,1
Зябликово,1
Рязанский,1
Измайлово,1
Новогиреево,1
Кузьминки,1
Гольяново,1
Северное Измайлово,1
Капотня,1
Выхино-Жулебино,1
Восточный,1
Восточное Измайлово,1
Ивановское,1
Косино-Ухтомский,1
Новокосино,1
Некрасовка,1
Кунцево,1
